Estación: Barrio del Pilar;;;;
Fecha;Hora;CO;NO2;O3
;;mg/m³;µg/m³;µg/m³
22/12/2015;01:00;0.5;65;7
22/12/2015;02:00;0.4;50;7
22/12/2015;03:00;0.3;37;11
22/12/2015;04:00;0.3;37;10
22/12/2015;05:00;0.3;29;17
22/12/2015;06:00;0.3;36;13
22/12/2015;07:00;0.3;47;7
22/12/2015;08:00;0.4;57;6
22/12/2015;09:00;0.5;67;6
22/12/2015;10:00;0.5;69;8
22/12/2015;11:00;0.5;67;11
22/12/2015;12:00;0.5;64;15
22/12/2015;13:00;0.5;65;21
22/12/2015;14:00;0.5;68;24
22/12/2015;15:00;0.7;91;19
22/12/2015;16:00;0.8;105;13
22/12/2015;17:00;0.8;102;10
22/12/2015;18:00;0.7;100;8
22/12/2015;19:00;1.5;148;7
22/12/2015;20:00;2.7;223;7
22/12/2015;21:00;2;204;7
22/12/2015;22:00;3.3;251;7
22/12/2015;23:00;3;264;7
22/12/2015;24:00;2;204;7
23/12/2015;01:00;1.2;127;6
23/12/2015;02:00;0.4;61;7
23/12/2015;03:00;0.3;46;9
23/12/2015;04:00;0.3;47;7
23/12/2015;05:00;0.5;44;6
23/12/2015;06:00;0.5;45;6
23/12/2015;07:00;0.5;46;6
23/12/2015;08:00;0.4;53;6
23/12/2015;09:00;0.5;69;6
23/12/2015;10:00;0.9;90;7
23/12/2015;11:00;0.4;51;11
23/12/2015;12:00;0.4;52;16
23/12/2015;13:00;0.4;56;20
23/12/2015;14:00;0.4;59;27
23/12/2015;15:00;0.4;66;25
23/12/2015;16:00;0.6;78;20
23/12/2015;17:00;0.7;96;11
23/12/2015;18:00;0.7;97;7
23/12/2015;19:00;1;117;7
23/12/2015;20:00;1.7;158;7
23/12/2015;21:00;2.8;235;8
23/12/2015;22:00;3.2;268;7
23/12/2015;23:00;3.4;281;7
23/12/2015;24:00;2.1;189;7
24/12/2015;01:00;0.7;88;6
24/12/2015;02:00;0.4;66;6
24/12/2015;03:00;0.6;61;6
24/12/2015;04:00;0.6;59;6
24/12/2015;05:00;0.5;45;6
24/12/2015;06:00;0.6;50;6
24/12/2015;07:00;0.7;52;6
24/12/2015;08:00;0.7;51;6
24/12/2015;09:00;1;62;6
24/12/2015;10:00;0.9;64;6
24/12/2015;11:00;0.8;68;7
24/12/2015;12:00;0.9;73;8
24/12/2015;13:00;-;-;-
24/12/2015;14:00;0.7;69;14
24/12/2015;15:00;0.6;68;15
24/12/2015;16:00;0.7;75;11
24/12/2015;17:00;0.6;67;9
24/12/2015;18:00;0.6;70;7
24/12/2015;19:00;0.9;84;7
24/12/2015;20:00;1;92;7
24/12/2015;21:00;1.3;108;7
24/12/2015;22:00;1.5;135;7
24/12/2015;23:00;1.2;116;7
24/12/2015;24:00;1.3;104;7
25/12/2015;01:00;1;80;7
25/12/2015;02:00;0.6;63;6
25/12/2015;03:00;0.4;51;6
25/12/2015;04:00;0.4;45;6
25/12/2015;05:00;0.5;46;6
25/12/2015;06:00;0.5;40;6
25/12/2015;07:00;0.6;35;6
25/12/2015;08:00;0.4;39;6
25/12/2015;09:00;0.3;33;9
25/12/2015;10:00;0.3;28;12
25/12/2015;11:00;0.3;21;22
25/12/2015;12:00;0.3;25;28
25/12/2015;13:00;0.3;26;37
25/12/2015;14:00;0.3;32;42
25/12/2015;15:00;0.4;41;42
25/12/2015;16:00;0.5;58;30
25/12/2015;17:00;0.6;72;17
25/12/2015;18:00;0.5;71;12
25/12/2015;19:00;1;108;7
25/12/2015;20:00;1.7;165;7
25/12/2015;21:00;2;186;7
25/12/2015;22:00;2;180;7
25/12/2015;23:00;1.8;178;7
25/12/2015;24:00;0.5;71;8
26/12/2015;01:00;0.4;43;17
26/12/2015;02:00;0.3;36;22
26/12/2015;03:00;0.3;32;25
26/12/2015;04:00;0.3;28;25
26/12/2015;05:00;0.3;23;29
26/12/2015;06:00;0.3;27;25
26/12/2015;07:00;0.4;35;12
26/12/2015;08:00;0.3;41;10
26/12/2015;09:00;0.6;53;6
26/12/2015;10:00;0.9;61;6
26/12/2015;11:00;0.6;58;11
26/12/2015;12:00;0.5;50;15
26/12/2015;13:00;0.5;50;20
26/12/2015;14:00;0.6;49;23
26/12/2015;15:00;0.5;60;20
26/12/2015;16:00;0.6;66;18
26/12/2015;17:00;0.5;64;19
26/12/2015;18:00;0.5;74;11
26/12/2015;19:00;0.8;105;7
26/12/2015;20:00;1.5;154;7
26/12/2015;21:00;1.1;136;7
